[28.05 18:40:27] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 18:41:36] [request] POST /api/v3/auth/token -> 200 (110 bytes)
[28.05 18:41:41] [request] GET /api/v3/vehicles -> 200 (537255 bytes)
[28.05 20:31:57] [request] POST /api/v3/auth/token -> 401 (81 bytes)
[28.05 21:11:10] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:23:39] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:25:42] [request] POST /api/v3/auth/token -> 200 (111 bytes)
[28.05 21:29:18] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:30:00] [request] GET /api/v3/vehicles -> 200 (10720 bytes)
[28.05 21:37:05] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:37:43] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:37:48] [request] GET /api/v3/vehicles -> 200 (38886 bytes)
[28.05 21:38:29] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:45:09] [request] POST /api/v3/auth/token -> 401 (81 bytes)
[28.05 21:45:11] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:45:29] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:46:13] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:51:42] [request] POST /api/v3/auth/token -> 200 (112 bytes)
[28.05 21:51:57] [request] POST /backend/ax/reports.php -> 200 (76130 bytes)
[28.05 21:51:57] [parse] date_groups=28
[28.05 21:51:57] [parse] группа 'пятница, 01.05.2026 00:00 - суббота, 02.05.2026 00...': словарь, ключей=15
[28.05 21:51:57] [parse] группа 'суббота, 02.05.2026 00:00 - воскресенье, 03.05.202...': словарь, ключей=14
[28.05 21:51:57] [parse] группа 'воскресенье, 03.05.2026 00:00 - понедельник, 04.05...': словарь, ключей=11
[28.05 21:51:57] [parse] группа 'понедельник, 04.05.2026 00:00 - вторник, 05.05.202...': словарь, ключей=12
[28.05 21:51:57] [parse] группа 'вторник, 05.05.2026 00:00 - среда, 06.05.2026 00:0...': словарь, ключей=11
[28.05 21:51:57] [parse] группа 'среда, 06.05.2026 00:00 - четверг, 07.05.2026 00:0...': словарь, ключей=12
[28.05 21:51:57] [parse] группа 'четверг, 07.05.2026 00:00 - пятница, 08.05.2026 00...': словарь, ключей=13
[28.05 21:51:57] [parse] группа 'пятница, 08.05.2026 00:00 - суббота, 09.05.2026 00...': словарь, ключей=12
[28.05 21:51:57] [parse] группа 'суббота, 09.05.2026 00:00 - воскресенье, 10.05.202...': словарь, ключей=15
[28.05 21:51:57] [parse] группа 'воскресенье, 10.05.2026 00:00 - понедельник, 11.05...': словарь, ключей=9
[28.05 21:51:57] [parse] группа 'понедельник, 11.05.2026 00:00 - вторник, 12.05.202...': словарь, ключей=7
[28.05 21:51:57] [parse] группа 'вторник, 12.05.2026 00:00 - среда, 13.05.2026 00:0...': словарь, ключей=12
[28.05 21:51:57] [parse] группа 'среда, 13.05.2026 00:00 - четверг, 14.05.2026 00:0...': словарь, ключей=16
[28.05 21:51:57] [parse] группа 'четверг, 14.05.2026 00:00 - пятница, 15.05.2026 00...': словарь, ключей=12
